City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Ukiah,US,84.2,clear sky,39.15,-123.21,Hampton Inn Ukiah
2,Porbandar,IN,80.6,haze,21.64,69.61,Lords Inn Porbandar
6,Kapaa,US,82.4,overcast clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
19,Acapulco,MX,77.0,moderate rain,16.86,-99.89,HS Hotsson Smart Acapulco
22,Rikitea,PF,71.71,overcast clouds,-23.12,-134.97,Pension Maro'i
26,Faanui,PF,77.4,scattered clouds,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
40,Labuhan,ID,86.45,clear sky,-6.88,112.21,bador sepret
61,Hilo,US,84.2,broken clouds,19.73,-155.09,Hilo Hawaiian Hotel
108,Wajima,JP,82.4,broken clouds,37.4,136.9,Wajiima Onsen Yashio
418,Agustin Codazzi,CO,73.96,overcast clouds,10.03,-73.24,MOTEL LA GRANJA
