City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Kovrov,RU,56.36,41.32,54.59,73,100,7.61,overcast clouds
1,Ukiah,US,39.15,-123.21,84.2,26,1,6.93,clear sky
2,Porbandar,IN,21.64,69.61,80.6,88,20,4.7,haze
3,Vasterhaninge,SE,59.12,18.1,60.01,54,33,14.25,scattered clouds
4,Qaanaaq,GL,77.48,-69.36,23.23,81,0,8.34,clear sky
5,Tiksi,RU,71.69,128.87,52.25,72,82,3.04,broken clouds
6,Kapaa,US,22.08,-159.32,82.4,65,90,10.29,overcast clouds
7,Cape Town,ZA,-33.93,18.42,57.0,93,75,11.41,broken clouds
8,Ucluelet,CA,48.93,-125.55,59.0,90,34,8.01,scattered clouds
9,Avarua,CK,-21.21,-159.78,78.8,83,1,8.05,light rain
10,Waipawa,NZ,-41.41,175.52,60.8,82,41,18.34,scattered clouds
11,Sudislavl,RU,57.88,41.71,53.74,83,100,7.96,overcast clouds
12,Bredasdorp,ZA,-34.53,20.04,53.6,81,61,9.17,broken clouds
13,Cedar Falls,US,42.53,-92.45,66.99,63,75,8.77,broken clouds
14,Povenets,RU,62.85,34.83,56.14,96,93,7.0,overcast clouds
15,Yellowknife,CA,62.46,-114.35,51.01,66,20,4.7,few clouds
16,Saint-Philippe,RE,-21.36,55.77,64.4,88,75,12.75,broken clouds
17,Castro,BR,-24.79,-50.01,59.11,95,2,5.91,clear sky
18,Guerrero Negro,MX,27.98,-114.06,74.32,74,0,14.99,clear sky
19,Acapulco,MX,16.86,-99.89,77.0,94,90,10.29,moderate rain
20,Chuy,UY,-33.7,-53.46,48.81,88,96,5.03,overcast clouds
21,Constantine,DZ,36.37,6.61,62.6,82,20,4.7,few clouds
22,Rikitea,PF,-23.12,-134.97,71.71,84,97,11.12,overcast clouds
23,Gryazovets,RU,58.88,40.25,56.5,76,100,9.37,overcast clouds
24,Remscheid,DE,51.18,7.2,61.0,85,100,1.99,overcast clouds
25,Akyab,MM,20.15,92.9,84.65,79,66,9.17,broken clouds
26,Faanui,PF,-16.48,-151.75,77.4,78,37,14.2,scattered clouds
27,Sisimiut,GL,66.94,-53.67,45.37,62,99,7.09,overcast clouds
28,New Norfolk,AU,-42.78,147.06,59.0,60,44,5.01,scattered clouds
29,Abu Zabad,SD,12.35,29.25,74.59,73,100,7.18,overcast clouds
30,Ushuaia,AR,-54.8,-68.3,39.2,89,75,3.36,broken clouds
31,Punta Arenas,CL,-53.15,-70.92,35.6,93,100,5.82,overcast clouds
32,Rzeszow,PL,50.04,22.0,60.8,93,35,2.24,scattered clouds
33,Vostok,RU,46.49,135.88,73.85,46,0,6.02,clear sky
34,Ilulissat,GL,69.22,-51.1,41.0,75,92,6.93,overcast clouds
35,Jamestown,US,42.1,-79.24,59.0,67,75,6.93,broken clouds
36,Lasa,IT,46.62,10.7,55.0,93,5,2.62,clear sky
37,Port Alfred,ZA,-33.59,26.89,62.24,80,4,19.33,clear sky
38,Puerto Ayora,EC,-0.74,-90.35,66.99,90,77,5.01,broken clouds
39,Bluff,NZ,-46.6,168.33,53.13,69,88,9.62,overcast clouds
40,Labuhan,ID,-6.88,112.21,86.45,60,8,1.81,clear sky
41,Hay River,CA,60.82,-115.8,53.6,71,75,13.87,broken clouds
42,Hermanus,ZA,-34.42,19.23,53.01,82,50,7.38,scattered clouds
43,Kabalo,CD,-6.05,26.92,72.61,40,22,0.87,few clouds
44,Bandarbeyla,SO,9.49,50.81,75.45,75,83,22.48,broken clouds
45,La Crosse,US,43.8,-91.24,64.4,63,20,6.93,few clouds
46,Mataura,NZ,-46.19,168.86,57.85,49,80,6.15,broken clouds
47,Bulawayo,ZW,-20.15,28.58,51.78,81,0,9.71,clear sky
48,Olafsvik,IS,64.89,-23.71,45.61,73,100,2.62,overcast clouds
49,Beringovskiy,RU,63.05,179.32,45.84,70,100,14.72,overcast clouds
50,Khatanga,RU,71.97,102.5,44.08,69,90,7.65,overcast clouds
51,Cascais,PT,38.7,-9.42,68.0,68,0,8.05,clear sky
52,Nova Ushytsya,UA,48.84,27.27,53.06,93,0,7.4,clear sky
53,Lagoa,PT,39.05,-27.98,68.9,74,21,21.07,few clouds
54,Dikson,RU,73.51,80.55,41.76,89,95,15.21,overcast clouds
55,Sitka,US,57.05,-135.33,59.0,67,75,8.05,broken clouds
56,Clyde River,CA,70.47,-68.59,35.6,80,20,10.29,few clouds
57,Bengkulu,ID,-3.8,102.27,83.01,70,90,4.41,overcast clouds
58,Vaini,TO,-21.2,-175.2,73.4,64,20,13.87,few clouds
59,Albany,US,42.6,-73.97,59.0,97,0,4.9,clear sky
60,Souillac,MU,-20.52,57.52,66.2,88,75,17.22,broken clouds
61,Hilo,US,19.73,-155.09,84.2,54,75,10.29,broken clouds
62,Hobart,AU,-42.88,147.33,59.0,52,40,11.41,scattered clouds
63,Pierre,US,44.37,-100.35,75.2,27,1,7.27,clear sky
64,Busselton,AU,-33.65,115.33,66.0,80,97,8.99,light rain
65,Puerto Del Rosario,ES,28.5,-13.86,69.8,88,4,8.05,clear sky
66,Carnarvon,AU,-24.87,113.63,69.8,83,0,13.87,clear sky
67,Praia,CV,14.92,-23.51,78.8,88,75,8.05,broken clouds
68,Tasiilaq,GL,65.61,-37.64,32.65,90,54,5.68,broken clouds
69,Georgetown,MY,5.41,100.34,84.2,83,20,3.36,few clouds
70,Cabo San Lucas,MX,22.89,-109.91,86.0,74,5,8.05,clear sky
71,Grindavik,IS,63.84,-22.43,42.8,75,100,4.7,overcast clouds
72,Chapleau,CA,47.84,-83.4,46.47,84,4,8.55,clear sky
73,Naze,JP,28.37,129.48,77.0,88,75,24.16,light rain
74,Carauari,BR,-4.88,-66.9,78.93,72,41,1.23,scattered clouds
75,Husavik,IS,66.04,-17.34,30.2,92,31,6.64,scattered clouds
76,Nicoya,CR,10.15,-85.45,75.99,90,100,2.06,light rain
77,Coreau,BR,-3.53,-40.66,68.9,91,0,1.45,clear sky
78,Mar Del Plata,AR,-38.0,-57.56,48.0,81,58,3.36,broken clouds
79,Lavrentiya,RU,65.58,-171.0,44.96,62,33,12.01,scattered clouds
80,Paamiut,GL,61.99,-49.67,46.42,86,98,25.66,overcast clouds
81,Obera,AR,-27.49,-55.12,57.36,83,0,4.07,clear sky
82,Seddon,AU,-37.81,144.89,63.0,62,75,11.41,broken clouds
83,Port Elizabeth,ZA,-33.92,25.57,60.8,77,4,20.8,clear sky
84,Casablanca,MA,33.59,-7.62,73.0,100,0,3.36,clear sky
85,Waddan,LY,29.16,16.14,73.09,73,0,8.03,clear sky
86,Eureka,US,40.8,-124.16,64.4,63,1,9.17,clear sky
87,Port Hardy,CA,50.7,-127.42,64.4,82,40,2.24,fog
88,Umarkhed,IN,19.6,77.7,81.36,80,77,4.9,broken clouds
89,Iquique,CL,-20.22,-70.14,60.8,63,90,3.36,overcast clouds
